title;summary;url
Шумиловские водопады;"Шумиловский водопад находится в Приуралье, в Туймазинском районе республики Башкортостан, на Бугульминско-Белебеевской возвышенности.
Является памятником природы с 2010 года.
Водопад необычен тем, что находится вдали от ближайших гор, а вода стекает со значительной высоты по склону невысокого скалистого холма, с уровня почти половины его высоты.
Водопад представляет собой множество струек воды, падающих с трехметрового уступа скалы, и образующих водную завесу, искрящуюся на солнце. За водной стеной водопада находится небольшой грот. Стены грота, также как и значительная часть поверхности, образованы кальцитовыми отложениями на веточках мха. Вся скала, с которой стекает водопад, испещрена множеством каналов, ходов, пещерок с озерцами и скальных выступов.
Вода из водопада дальше сливается в единый ручей и примерно через четыре километра впадает в речку Кидаш.";https://ru.wikipedia.org/wiki/%D0%A8%D1%83%D0%BC%D0%B8%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B5_%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%D1%8B
Блади-Фолс;"Блади-Фолс — каскад порогов на реке Коппермайн в западной части Территориального парка Куглук/Блади-Фолс, на северо-западе Канады (Нунавут). 
Водопад известен по событию 1771 года, когда произошла резня у Блади-Фоллс, а также как место убийства двух священников, совершённого в 1913 году Улоксаком и Синнисиаком — охотниками из народности медных инуитов.
Ближайшая деревня, Куглуктук, расположена в 15,8 километра от водопада.

В течение многих веков в этих районах проживали инуиты из подгруппы Коглуктогмиут.
В 1978 году северо-западная часть Территориального парка Куглук/Блади-Фолс получила статус Национального исторического места Канады, так как там находятся археологические зоны участков охоты и рыбной ловли, принадлежавших представителям доколумбовых цивилизаций (культуры Пре-Дорсет, Туле) и инуитам; возраст останков датируется 1700 годом до нашей эры.";https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%B0%D0%B4%D0%B8-%D0%A4%D0%BE%D0%BB%D1%81
Водопад на реке Чаваньга;"Водопа́д на реке́ Ча́ваньга — гидрологический памятник природы. Расположен в 12 километрах от села Чаваньга, вверх по одноимённой реке, в 2,5 километрах ниже точки впадения реки Малая Чаваньга.
Придать статус охраняемой территории было предложено ещё в 1979 году; 15 января 1986 года Мурманским облисполкомом приказом номер 24 водопад получил статус регионального памятника природы. Кроме самого, состоящего из трёх каскадов водопада, охране подлежат прибрежные территории обоих берегов реки шириной 500 метров на расстоянии 1 километр (общей площадью 1 км²).
На охраняемых землях запрещена любые промышленные работы, вырубка леса и любая деятельность, приводящая к загрязнению и нарушению сохранности памятника.
Водопад состоит из трёх каскадов, растянутых на расстояние километра, высотой 2, 3 и 4,5 метров. Уступы водопада сложены живописными комплексами гранитных и гранитно-гнейсовых пород, обветренных до разнообразных причудливых форм. Растительность в окрестностях водопада относится к таёжной зоне с многочисленными небольшими озёрами, заболоченными участками рек и покрытыми лесом сопками. В водах Чаваньги в этом месте водятся сиг, хариус и кумжа.";https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4_%D0%BD%D0%B0_%D1%80%D0%B5%D0%BA%D0%B5_%D0%A7%D0%B0%D0%B2%D0%B0%D0%BD%D1%8C%D0%B3%D0%B0
Водопад на реке Чапома;Водопа́д на реке́ Чапо́ма — региональный гидрологический памятник природы на Кольском полуострове, в Мурманской области России. Крупнейший водопад области.;https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4_%D0%BD%D0%B0_%D1%80%D0%B5%D0%BA%D0%B5_%D0%A7%D0%B0%D0%BF%D0%BE%D0%BC%D0%B0
Абай-Су;Абай-Су (карач.-балк. Абай суу — в переводе «водопад Абая») — водопад на левом притоке реки Башиль-Аузусу (верховье Чегема) в Кабардино-Балкарии, Россия. Высота составляет 78 метров. Высота непрерывного падения — 72 метра. Назван именем охотника Абая, известного своей меткостью. Одна из главных достопримечательностей Кабардино-Балкарии.;https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%B9-%D0%A1%D1%83
Агурские водопады;"Агу́рские водопа́ды — каскад водопадов на реке Агура в Хостинском районе города Сочи. Расстояние от берега Чёрного моря — 4 км.
Территория водопадов включена в состав ООПТ Агурские-водопады 26 января 1988 года.";https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D1%83%D1%80%D1%81%D0%BA%D0%B8%D0%B5_%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%D1%8B
Ажек (водопад);Аже́к (убыхск. же (аже) — снег, к (куа) — сын) — водопад, расположенный на реке Ажек при впадении её в реку Сочи в Хостинском районе города Сочи Краснодарского края в России. Водопад находится на территории Сочинского национального парка, в 6,5 километрах от села Ореховка.;https://ru.wikipedia.org/wiki/%D0%90%D0%B6%D0%B5%D0%BA_(%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4)
Акака;"Акака (англ. Akaka Falls) — самый высокий водопад Гавайских островов, расположенный на острове Гавайи. На языке гавайцев Akaka означает «разделение, трещина».
Вода низвергается с отвесной скалы вулканического происхождения, высотой 135 метров (442 фута).

Водопад расположен в 18 км на север от города Хило в Национальном Парке. Доступные области парка находятся на правом верхнем уступе глубокого ущелья, в которое падает водопад, видный с нескольких точек вдоль замкнутой дорожки, проходящей через парк.";https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D0%B0%D0%BA%D0%B0
Алекшупитский водопад;"Алекшупитский водопад (латыш. Alekšupītes ūdenskritums) — водопад в Латвии на реке Алекшупите. Находится в городе Кулдига Кулдигского края. Высота — 4,15 м, ширина — 8 м, расход — 2 м³/с.
Является самым высоким водопадом в Курземе, вторым по высоте в стране. Над водопадом расположен мост, а также мельничная плотина.
Считается, что он был построен в XIII веке вместе с замком. В XVII веке он был укреплён[неизвестный термин] для того, чтобы вращалось колесо, которое приводило в действие первую в Курземе бумажную[неизвестный термин] мельницу.";https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%88%D1%83%D0%BF%D0%B8%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4
Алибекский водопад;"Алибе́кский водопа́д — один из самых больших и эффектных водопадов в Домбае, в западной (верхней) части Алибекского ущелья на юге Карачаево-Черкесии (Россия). Также имеет название Алибе́к. Высота водопада составляет более 25 метров. Водопад образуется падением речки Джаловчатки с Алибекского ледника; камни, с которых падает вода, называют «бараньими лбами».
Алибекский водопад появился в XX веке. Ещё в 1930-е годы водопада не было, а скальчатый уступ был накрыт языком Алибекского ледника, который каждый год отступает вверх на метр-полтора.
Популярный объект пешеходного туризма. Находится на территории Тебердинского заповедника. Ближайшие населённые пункты: альплагерь Алибек (1,6 км по тропе), посёлок Домбай (6,5 км по дороге).";https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B8%D0%B1%D0%B5%D0%BA%D1%81%D0%BA%D0%B8%D0%B9_%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4
